ID,Name,RAdeg,DEdeg,gmag,e_gmag,rmag,e_rmag,C3_6,Gmag,pmRA,e_pmRA,pmDE,e_pmDE,plx,e_plx,Noise,EBPRP,ur0,rz0,LC3_6,Lpm,Lplx,LNoise,LEx,Lcol,TotL,Rank,Conf,Ref,valid_gr,g_r,color,radius_arcmin,log_radius
35065,,198.858727,-43.01544,19.48,0.01,18.43,0.01,6.37,999,999.0,999.0,999.0,999.0,999.0,999.0,10.411186,3.489074,2.505325,0.595261,1.0,999.0,999.0,1.0,1.0,1.0,1.0,gold,n,,True,1.0500000000000007,1.0500000000000007,109.94793028293502,2.0411870583883895
36679,T17-0203,198.921683,-42.68958,21.1,0.01,20.129999,0.01,8.83,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,2.447639,0.631229,1.0,999.0,999.0,999.0,999.0,0.9808,0.9808,silver,n,y,True,0.970001,0.9700009999999999,109.27318528436341,2.038513602830129
37310,T17-0212,198.947555,-41.910457,20.84,0.01,20.24,0.01,11.57,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.573576,0.248476,1.0,999.0,999.0,999.0,999.0,0.969,0.969,silver,n,y,True,0.6000000000000014,0.6000000000000014,125.98654756138481,2.100324175024232
37761,,198.96121,-43.924804,18.6,0.01,18.02,0.01,2.25,999,999.0,999.0,999.0,999.0,999.0,999.0,3.214133,1.563515,999.0,999.0,0.987921,999.0,999.0,1.0,1.0,999.0,0.9879,silver,n,,True,0.5800000000000018,0.5800000000000018,117.93074671178584,2.071627048406465
38385,,198.975107,-42.991116,22.0,0.03,21.219999,0.04,10.91,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.895317,0.403299,1.0,999.0,999.0,999.0,999.0,0.912,0.912,silver,n,,True,0.7800009999999986,0.7800009999999986,104.87699464301645,2.0206802337101077
38948,,198.988065,-42.695979,21.129999,0.01,20.530001,0.02,11.44,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.76343,0.331491,1.0,999.0,999.0,999.0,999.0,0.9975,0.9975,silver,n,,True,0.5999980000000029,0.5999980000000029,106.32719671688736,2.0266443639905036
39261,,198.994341,-43.69374,20.42,0.01,19.610001,0.01,4.45,999,999.0,999.0,999.0,999.0,999.0,999.0,6.037193,1.743383,999.0,999.0,0.999996,999.0,999.0,1.0,0.976706,999.0,0.9767,silver,n,,True,0.8099990000000012,0.8099990000000012,111.06002894145979,2.0455577823106394
39529,,199.000769,-42.96144,21.9,0.03,21.08,0.03,1.28,999,999.0,999.0,999.0,999.0,999.0,999.0,4.540731,999.0,999.0,999.0,0.899934,999.0,999.0,1.0,999.0,999.0,0.8999,silver,n,,True,0.8200000000000003,0.8200000000000003,103.8203808734838,2.0162826177902673
39788,,199.006152,-42.991032,21.57,0.02,20.959999,0.03,12.78,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.727465,0.234966,1.0,999.0,999.0,999.0,999.0,0.8738,0.8738,silver,n,,True,0.6100010000000005,0.6100010000000005,103.51528094529475,2.015004465158735
39947,,199.009837,-44.238694,21.41,0.01,20.83,0.01,1.14,999,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1.978962,0.336649,0.873106,999.0,999.0,999.0,999.0,0.9805,0.8561,silver,n,,True,0.5800000000000018,0.5800000000000018,125.75883326346971,2.099538499516043
39948,KV19-047,199.00986,-43.441356,19.309999,0.01,18.139999,0.01,7.51,999,999.0,999.0,999.0,999.0,999.0,999.0,3.406243,1.873201,999.0,999.0,1.0,999.0,999.0,1.0,1.0,999.0,1.0,silver,n,z,True,1.1700000000000017,1.1700000000000017,106.02983240090127,2.025428074927742
